Department Family,Entity,Invoice Date,Consolidated Expense Type,Expense area,Supplier,Purchase Invoice Number,Invoice Value,Description
Department of Health,NHS Digital,3/15/2017,Managed Service,Health Digital Services ,INTECHNOLOGY PLC,10621,"136,086.73",Managed Service
Department of Health,NHS Digital,6/29/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10116106,"135,753.17",Contingent Labour
Department of Health,NHS Digital,7/11/2016,Workpackage,Operations and Assurance Services ,XML SOLUTIONS LTD,IC020,"135,542.25",Workpackage
Department of Health,NHS Digital,1/10/2017,Managed Service,Health Digital Services ,INTECHNOLOGY PLC,ISIN10570,"135,331.68",Managed Service
Department of Health,NHS Digital,10/6/2016,Workpackage,Provider Support and Integration ,BRAMBLE HUB LTD,6398,"134,967.62",Workpackage
Department of Health,NHS Digital,6/29/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10122177,"134,447.25",Contingent Labour
Department of Health,NHS Digital,6/21/2016,Rent,Finance and Corporate Services ,REGUS (UK) LTD,23541667,"134,190.04",Rent
Department of Health,NHS Digital,5/13/2016,Workpackage,Operations and Assurance Services ,XML SOLUTIONS LTD,IC018,"133,643.00",Workpackage
Department of Health,NHS Digital,12/13/2016,Workpackage,Operations and Assurance Services ,XML SOLUTIONS LTD,IC0025,"133,636.00",Workpackage
Department of Health,NHS Digital,3/6/2017,Workpackage,Operations and Assurance Services ,DT TECH SOLUTIONS UK LTD,72,"133,543.40",Workpackage
Department of Health,NHS Digital,3/31/2016,Software,Operations and Assurance Services ,SOFTCAT LTD,INV01349155,"133,500.67",Software
Department of Health,NHS Digital,3/31/2016,Rent,Finance and Corporate Services ,REGUS (UK) LTD,23541549,"132,990.04",Rent
Department of Health,NHS Digital,6/30/2016,Rent,Finance and Corporate Services ,REGUS (UK) LTD,23541673,"132,990.04",Rent
Department of Health,NHS Digital,2/7/2017,Managed Service,Health Digital Services ,INTECHNOLOGY PLC,10596,"131,428.64",Managed Service
Department of Health,NHS Digital,12/31/2016,Software,Health Digital Services ,BJSS LTD,INVUK001797,"130,616.00",Software
Department of Health,NHS Digital,1/31/2017,Software,Health Digital Services ,BJSS LTD,1940,"130,616.00",Software
Department of Health,NHS Digital,2/28/2017,Software,Health Digital Services ,BJSS LTD,2148,"130,616.00",Software
Department of Health,NHS Digital,3/30/2017,Software,Health Digital Services ,BJSS LTD,2221,"130,616.00",Software
Department of Health,NHS Digital,8/24/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10137477,"129,177.58",Contingent Labour
Department of Health,NHS Digital,12/22/2016,Legal Fees and Services,Various,DLA PIPER UK LLP,54830024,"129,105.44",Legal Services
Department of Health,NHS Digital,11/16/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10158370,"128,313.14",Contingent Labour
Department of Health,NHS Digital,7/13/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10128210,"127,711.88",Contingent Labour
Department of Health,NHS Digital,12/1/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10161327,"127,640.71",Contingent Labour
Department of Health,NHS Digital,3/31/2016,Workpackage,Operations and Assurance Services ,SYSTEM DYNAMICS UK LTD,403,"126,899.80",Workpackage
Department of Health,NHS Digital,10/5/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10146892,"126,585.53",Contingent Labour
Department of Health,NHS Digital,5/16/2016,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,375,"125,545.00",Workpackage
Department of Health,NHS Digital,5/6/2016,Workpackage,Operations and Assurance Services ,DT TECH SOLUTIONS UK LTD,4,"124,802.70",Workpackage
Department of Health,NHS Digital,9/28/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10145389,"124,462.54",Contingent Labour
Department of Health,NHS Digital,6/29/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10119059,"124,168.02",Contingent Labour
Department of Health,NHS Digital,9/19/2016,Data Purchases and Services,Information and Analytics ,NATIONAL CENTRE FOR SOCIAL RESEARCH,52907,"122,650.00",Health Surveys
Department of Health,NHS Digital,5/6/2016,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,354,"121,600.00",Workpackage
Department of Health,NHS Digital,3/31/2016,Workpackage,Operations and Assurance Services ,SYSTEM DYNAMICS UK LTD,402,"121,434.38",Workpackage
Department of Health,NHS Digital,9/19/2016,Managed Service,Operations and Assurance Services ,BT PLC,422792,"120,860.00",Managed Service
Department of Health,NHS Digital,12/30/2016,IT Hardware,Operations and Assurance Services ,SOFTCAT LTD,INV01526745,"119,946.37",IT Hardware
Department of Health,NHS Digital,2/20/2017,IT Hardware,Operations and Assurance Services ,PROBRAND LTD,OPI562207,"119,634.00",IT Hardware
Department of Health,NHS Digital,1/6/2017,Managed Service,Operations and Assurance Services ,BT GLOBAL SERVICES,790200495,"118,985.26",Managed Service
Department of Health,NHS Digital,9/12/2016,Workpackage,Operations and Assurance Services ,XML SOLUTIONS LTD,IC022,"118,526.25",Workpackage
Department of Health,NHS Digital,11/3/2016,Workpackage,Operations and Assurance Services ,XML SOLUTIONS LTD,IC0024,"118,125.25",Workpackage
Department of Health,NHS Digital,7/6/2016,Workpackage,Operations and Assurance Services ,DT TECH SOLUTIONS UK LTD,17,"118,112.30",Workpackage
Department of Health,NHS Digital,1/31/2017,Workpackage,Provider Support and Integration,ASE CONSULTING LTD,20160177,"118,000.00",Workpackage
Department of Health,NHS Digital,1/11/2017,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10169931,"116,927.68",Contingent Labour
Department of Health,NHS Digital,11/30/2016,Workpackage,Provider Support and Integration ,ASE CONSULTING LTD,20160147,"116,850.00",Workpackage
Department of Health,NHS Digital,6/13/2016,Software,Operations and Assurance Services ,SOFTCAT LTD,INV01394200,"116,841.01",Software
Department of Health,NHS Digital,8/5/2016,Workpackage,Provider Support and Integration ,BRAMBLE HUB LTD,6253,"116,133.75",Workpackage
Department of Health,NHS Digital,9/5/2016,Workpackage,Provider Support and Integration ,BRAMBLE HUB LTD,6324,"115,407.50",Workpackage
Department of Health,NHS Digital,3/30/2016,Conferences And Seminars,Various,CALDER CONFERENCES LTD,1,"115,143.22",Conferences & Seminars
Department of Health,NHS Digital,10/10/2016,Workpackage,Operations and Assurance Services ,XML SOLUTIONS LTD,IC023,"115,106.50",Workpackage
Department of Health,NHS Digital,5/6/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10106445,"114,367.11",Contingent Labour
Department of Health,NHS Digital,1/10/2017,Workpackage,Provider Support and Integration ,BRAMBLE HUB LTD,6603,"114,176.24",Workpackage
Department of Health,NHS Digital,12/5/2016,Workpackage,Operations and Assurance Services ,DT TECH SOLUTIONS UK LTD,53,"114,132.53",Workpackage
Department of Health,NHS Digital,5/19/2016,IT Hardware,Operations and Assurance Services ,PROBRAND LTD,OPI540233,"113,895.00",IT Hardware
Department of Health,NHS Digital,9/29/2016,Legal Fees and Services,Various,DLA PIPER UK LLP,54822189,"113,680.30",Legal Services
Department of Health,NHS Digital,10/6/2016,Workpackage,Operations and Assurance Services ,DT TECH SOLUTIONS UK LTD,37,"112,302.02",Workpackage
Department of Health,NHS Digital,10/26/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10152833,"112,214.72",Contingent Labour
Department of Health,NHS Digital,6/22/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10123550,"111,841.64",Contingent Labour
Department of Health,NHS Digital,5/10/2016,Software,Various,HEALTH EDUCATION ENGLAND,49297262,"111,630.00",Software
Department of Health,NHS Digital,8/4/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10133117,"111,167.91",Contingent Labour
Department of Health,NHS Digital,12/30/2016,Software,Operations and Assurance Services ,SOFTCAT LTD,INV01527952,"110,933.22",Software
Department of Health,NHS Digital,8/31/2016,IT Hardware,Operations and Assurance Services ,MCSA GROUP LTD,SINV102183,"110,770.96",IT Hardware
Department of Health,NHS Digital,2/23/2017,Rent,Finance and Corporate Services ,DEPARTMENT OF HEALTH,215013,"110,671.18",Rent
Department of Health,NHS Digital,9/14/2016,Workpackage,Operations and Assurance Services ,DT TECH SOLUTIONS UK LTD,29,"110,180.35",Workpackage
Department of Health,NHS Digital,12/8/2016,IT Hardware,Operations and Assurance Services ,MCSA GROUP LTD,SINV103346,"110,091.89",IT Hardware
Department of Health,NHS Digital,7/21/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10129717,"107,778.86",Contingent Labour
Department of Health,NHS Digital,10/12/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10149499,"107,566.14",Contingent Labour
Department of Health,NHS Digital,2/6/2017,Workpackage,Provider Support and Integration ,PROFESSIONAL RECORD STANDARDS BODY,62,"107,000.00",Workpackage
Department of Health,NHS Digital,10/31/2016,Workpackage,Provider Support and Integration ,ASE CONSULTING LTD,20160141,"106,850.00",Workpackage
Department of Health,NHS Digital,2/23/2017,Workpackage,Provider Support and Integration,PROFESSIONAL RECORD STANDARDS BODY,66,"106,800.00",Workpackage
Department of Health,NHS Digital,3/13/2017,Workpackage,Provider Support and Integration ,PROFESSIONAL RECORD STANDARDS BODY,69,"106,800.00",Workpackage
Department of Health,NHS Digital,7/27/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10131205,"106,696.83",Contingent Labour
Department of Health,NHS Digital,11/7/2016,Workpackage,Operations and Assurance Services ,DT TECH SOLUTIONS UK LTD,40,"106,598.95",Workpackage
Department of Health,NHS Digital,6/14/2016,Data Purchases and Services,Operations and Assurance Services ,VODAFONE CORPORATE LTD,UK100120169071,"105,731.53",Data Lines
Department of Health,NHS Digital,8/5/2016,Workpackage,Operations and Assurance Services ,XML SOLUTIONS LTD,IC021,"105,635.62",Workpackage
Department of Health,NHS Digital,1/31/2017,Workpackage,Information and Analytics ,TERADATA UK LTD,7011007,"105,605.00",Workpackage
Department of Health,NHS Digital,6/29/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10120236,"105,238.20",Contingent Labour
Department of Health,NHS Digital,1/5/2017,Workpackage,Operations and Assurance Services ,DT TECH SOLUTIONS UK LTD,65,"104,446.00",Workpackage
Department of Health,NHS Digital,1/5/2017,Workpackage,Operations and Assurance Services ,DT TECH SOLUTIONS UK LTD,64,"104,079.20",Workpackage
Department of Health,NHS Digital,9/30/2016,Workpackage,Provider Support and Integration ,ASE CONSULTING LTD,20160111,"103,100.00",Workpackage
Department of Health,NHS Digital,2/28/2017,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,820,"103,020.00",Workpackage
Department of Health,NHS Digital,7/7/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10126394,"102,688.57",Contingent Labour
Department of Health,NHS Digital,8/10/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10134865,"102,518.19",Contingent Labour
Department of Health,NHS Digital,12/29/2016,IT Hardware,Operations and Assurance Services ,TELEFONICA O2 UK LTD,92586594,"101,964.00",IT Hardware
Department of Health,NHS Digital,12/29/2016,IT Hardware,Operations and Assurance Services ,SOFTCAT LTD,INV01525524,"101,891.16",IT Hardware
Department of Health,NHS Digital,2/28/2017,Workpackage,Provider Support and Integration ,ASE CONSULTING LTD,20160186,"101,450.00",Workpackage
Department of Health,NHS Digital,9/22/2016,Fixtures & Fittings,Finance and Corporate Services ,RFM FACILITIES & INTERIORS LTD,17235,"100,903.45",Fixtures & Fittings Additions
Department of Health,NHS Digital,1/9/2017,Workpackage,Operations and Assurance Services ,XML SOLUTIONS LTD,IC0026,"100,401.12",Workpackage
Department of Health,NHS Digital,12/5/2016,External Consultancy Fees,Workforce ,DELOITTE LLP,1111400942,"100,000.00",External Consultancy Fees
Department of Health,NHS Digital,12/12/2016,External Consultancy Fees,Workforce,DELOITTE LLP,1111403391,"100,000.00",External Consultancy Fees
Department of Health,NHS Digital,10/20/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10151166,"98,791.53",Contingent Labour
Department of Health,NHS Digital,8/31/2016,Legal Fees and Services,Various,DLA PIPER UK LLP,54820299,"98,368.40",Legal Services
Department of Health,NHS Digital,9/22/2016,Data Purchases and Services,Health Digital Services ,CSC COMPUTER SCIENCES LTD,5201467952,"97,735.95",Data Services
Department of Health,NHS Digital,11/30/2016,IT Hardware,Information and Analytics ,SOFTCAT LTD,INV01507879,"97,389.25",IT Hardware
Department of Health,NHS Digital,5/6/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10108313,"96,335.21",Contingent Labour
Department of Health,NHS Digital,6/29/2016,Data Purchases and Services,Information and Analytics ,NATIONAL CENTRE FOR SOCIAL RESEARCH,52742,"95,992.00",Health Surveys
Department of Health,NHS Digital,12/29/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10167661,"95,439.86",Contingent Labour
Department of Health,NHS Digital,4/5/2016,Rates,Finance and Corporate Services ,LEEDS CITY COUNCIL,9.02E+18,"94,927.00",Rates
Department of Health,NHS Digital,6/7/2016,Rent,Finance and Corporate Services ,REGUS (UK) LTD,23541669,"94,880.44",Rent
Department of Health,NHS Digital,6/7/2016,Legal Fees and Services,Various,DLA PIPER UK LLP,54806551,"94,654.40",Legal Services
Department of Health,NHS Digital,1/31/2017,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,793,"94,635.00",Workpackage
Department of Health,NHS Digital,3/1/2016,Conferences And Seminars,Various,CALDER CONFERENCES LTD,B3336,"94,193.68",Conferences & Seminars
Department of Health,NHS Digital,9/6/2016,Workpackage,Operations and Assurance Services ,DT TECH SOLUTIONS UK LTD,24,"94,082.00",Workpackage
Department of Health,NHS Digital,9/21/2016,Computer Maintenance,Operations and Assurance Services ,PROBRAND LTD,OPI550733,"93,170.15",Computer Maintenance
Department of Health,NHS Digital,3/30/2016,Software,Various,SOFTWARE AG (UK) LTD,1109007580,"92,315.00",Software
Department of Health,NHS Digital,3/1/2017,Rates,Finance and Corporate Services ,LEEDS CITY COUNCIL,9.02E+19,"92,233.87",Rates
Department of Health,NHS Digital,8/26/2016,Software,Operations and Assurance Services ,PROBRAND LTD,OPI548802,"91,152.00",Software
Department of Health,NHS Digital,3/16/2017,Workpackage,Operations and Assurance Services ,MASTEK LTD,90337520,"91,129.50",Workpackage
Department of Health,NHS Digital,3/14/2016,External Consultancy Fees,Various,LEEDS CITY COUNCIL,6290808533,"90,542.00",External Consultancy Fees
Department of Health,NHS Digital,3/14/2017,Workpackage,Provider Support and Integration ,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40218027,"90,182.83",Workpackage
Department of Health,NHS Digital,12/5/2016,Workpackage,Operations and Assurance Services ,DT TECH SOLUTIONS UK LTD,54,"89,806.42",Workpackage
Department of Health,NHS Digital,9/6/2016,Workpackage,Operations and Assurance Services ,DT TECH SOLUTIONS UK LTD,27,"89,308.00",Workpackage
Department of Health,NHS Digital,2/21/2017,Managed Service,Operations and Assurance Services ,BT PLC,434864,"88,485.00",Managed Service
Department of Health,NHS Digital,6/2/2016,Software,Operations and Assurance Services ,INSIGHT DIRECT (UK) LTD,2905687,"88,423.28",Software
Department of Health,NHS Digital,3/1/2017,Rates,Finance and Corporate Services ,LEEDS CITY COUNCIL,9.01E+14,"88,368.36",Rates
Department of Health,NHS Digital,6/29/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10112667,"88,224.33",Contingent Labour
Department of Health,NHS Digital,2/6/2017,Managed Service,Operations and Assurance Services ,REDCENTRIC,221334,"87,739.19",Managed Service
Department of Health,NHS Digital,3/6/2017,Managed Service,Operations and Assurance Services ,REDCENTRIC,222022,"87,739.19",Managed Service
Department of Health,NHS Digital,2/6/2017,IT Hardware,Operations and Assurance Services ,MCSA GROUP LTD,SINV103992,"86,893.71",IT Hardware
Department of Health,NHS Digital,5/24/2016,Workpackage,Various,LONDON BOROUGH OF NEWHAM,6.10E+11,"86,097.00",Workpackage
Department of Health,NHS Digital,3/31/2016,Software,Operations and Assurance Services ,SOFTCAT LTD,INV01349156,"86,048.22",Software
Department of Health,NHS Digital,3/31/2016,Software,Various,SOUTHAMPTON CITY COUNCIL,BG6891937,"86,000.00",Software
